       Dirección Corporativa de Administración y Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Subdirección de Servicios de Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Gerencia de Prevención Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2016 (Casos Nuevos Notificados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total general
Enfermedad isquémica del corazón(I20-I25),,,,,,,,,,,,,1,,1,3,7,10,17,25,42,12,35,47,74,170,244,69,118,187,353,413,766,1297
"Enfermedad pulmonar obstructiva crónica (EPOC)(J41-J42, J44)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
Erisipela(A46),,,,,1,1,,,,,,,1,,1,,,,2,5,7,1,1,2,4,9,13,6,6,12,14,17,31,67
Escabiosis(B86),3,1,4,13,19,32,13,20,33,25,15,40,14,4,18,5,2,7,22,9,31,9,6,15,27,17,44,13,6,19,21,16,37,280
Escarlatina(A38),,,,1,1,2,,1,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,3
"Eventos supuestamente asociados a la vacunación (ESAVI)(Y58, Y59)",,1,1,2,2,4,3,3,6,3,3,6,2,1,3,1,1,2,19,9,28,1,1,2,10,6,16,2,2,4,1,4,5,77
"Faringitis y amigdalitis estreptocócicas(J02.0, J03.0)",1,2,3,9,16,25,8,19,27,9,15,24,6,9,15,5,1,6,14,5,19,6,3,9,7,4,11,11,2,13,13,8,21,173
Fiebre paratifoidea(A01.1-A01.4),,,,,,,,1,1,3,,3,,1,1,1,,1,2,,2,3,1,4,4,,4,,,,1,2,3,19
Fiebre tifoidea(A01.0),,,,1,,1,2,1,3,2,1,3,3,,3,,,,5,1,6,3,2,5,5,2,7,2,4,6,3,1,4,38
Giardiasis(A07.1),,,,3,1,4,,4,4,,,,1,1,2,,,,,1,1,,,,,,,,,,2,0,2,13
Gingivitis y enfermedad periodontal(K05),2,2,4,41,39,80,148,115,263,272,240,512,303,247,550,241,165,406,1269,849,2118,515,416,931,1211,987,2198,701,538,1239,1615,1290,2905,11206
Hepatitis vírica A(B15),,,,,,,,,,1,1,2,,1,1,1,2,3,5,8,13,1,,1,2,2,4,1,,1,0,0,0,25
Hepatitis vírica B(B16),,,,,,,,,,,,,,1,1,,,,1,,1,,,,1,,1,,,,0,1,1,4
"Hepatitis vírica C(B17.1, B18.2)",,,,,,,,,,,,,,,,,,,1,4,5,,,,,3,3,1,,1,8,2,10,19
Herida por arma de fuego y punzocortantes(W32-W34),,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,0,0,0,2
Herpes genital(A60.0),,,,,,,,,,,,,,,,2,1,3,6,3,9,1,10,11,1,2,3,,,,0,0,0,26
Hiperplasia de la próstata(N40),,,,,,,,,,,,,,,,,,,,5,5,,11,11,,72,72,,58,58,0,162,162,308
Hipertensión arterial(I10-I15),,,,,,,,,,,,,6,5,11,5,13,18,274,321,595,209,226,435,501,504,1005,233,227,460,487,387,874,3398
Infección asociada a la atención de la salud(S/C),6,2,8,,4,4,4,4,8,2,1,3,3,3,6,1,3,4,30,48,78,11,18,29,45,56,101,22,46,68,92,151,243,552
"Infección de vías urinarias(N30, N34, N39.0)",58,14,72,445,145,590,857,290,1147,585,234,819,654,163,817,424,147,571,4021,1048,5069,1783,531,2314,4306,1341,5647,2308,822,3130,6840,3051,9891,30067
"Infección por el virus de la inmunodeficiencia humana(B20-B24, Z21)",,,,,,,,,,,,,,1,1,1,4,5,3,14,17,1,7,8,2,7,9,,1,1,0,0,0,41
Infección por virus del papiloma humano(B97.7),,,,,,,,,,,,,2,1,3,5,,5,52,7,59,12,1,13,17,5,22,7,2,9,2,2,4,115
Infección por virus Zika(A92.5),,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0,0,0,1
"Infecciones intestinales por otros organismos y las mal definidas(A04, A08-A09 EXCEPTO A08.0)",151,174,325,1020,1193,2213,1033,1102,2135,840,953,1793,665,596,1261,306,178,484,2054,1855,3909,801,672,1473,1602,1260,2862,685,459,1144,1761,1110,2871,20470
"Infecciones respiratorias agudas(J00-J06, J20, J21 EXCEPTO J02.0 Y J03.0)",1244,1446,2690,6881,7667,14548,8536,8813,17349,6218,6781,12999,3627,3493,7120,1643,1212,2855,13125,9833,22958,4624,3403,8027,9412,6591,16003,3868,2721,6589,7760,6105,13865,125003
Influenza(J09-J11),1,2,3,33,44,77,59,60,119,95,126,221,103,96,199,49,32,81,1451,1412,2863,498,488,986,739,943,1682,176,201,377,360,354,714,7322
Insuficiencia venosa periférica(I87.2),,,,,,,,,,,,,,,,,,,53,12,65,35,9,44,102,35,137,57,22,79,167,62,229,554
Intoxicación aguda por alcohol(F10.0),,,,,,,,,,,,,1,2,3,,,,,4,4,,2,2,,3,3,,2,2,0,2,2,16
Intoxicación alimentaria bacteriana(A05),,2,2,12,4,16,5,16,21,5,8,13,,2,2,,1,1,5,1,6,3,2,5,3,2,5,1,,1,2,3,5,77
"Intoxicación por picadura de alacrán(T63.2, X22)",,,,,1,1,1,1,2,1,3,4,2,2,4,1,1,2,6,3,9,5,2,7,11,12,23,5,5,10,10,10,20,82
Intoxicación por plaguicidas(T60),,,,1,,1,,,,,,,,,,,,,1,,1,,,,,,,,,,0,0,0,2
"Intoxicación por ponzoña de animales(T63, X21, X27, EXCEPTO T63.0 Y T63.2)",,,,1,,1,1,2,3,1,,1,,2,2,,3,3,6,10,16,2,3,5,4,4,8,,1,1,0,2,2,42
Labio y paladar hendido(Q35-Q37),,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2
Leishmaniasis cutánea(B55.1),,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,0,0,0,1
Leptospirosis(A27),,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,0,0,0,1
Meningitis tuberculosa(A17.0),,,,,,,,,,,,,,,,,1,1,1,,1,,,,,1,1,,,,0,0,0,3
"Mordedura por serpiente(T63.0, X20)",,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0,1,1,2
Mordeduras por otros mamíferos(W55),,,,4,1,5,5,4,9,6,7,13,8,5,13,3,3,6,22,15,37,9,2,11,16,5,21,4,4,8,17,14,31,154
Mordeduras por perro(W54),,,,5,12,17,23,32,55,27,37,64,24,35,59,13,9,22,84,71,155,39,32,71,92,85,177,42,39,81,84,82,166,867
"Neumonías y bronconeumonías(J12-J18 EXCEPTO J18.2, J13 y J14)",5,9,14,13,31,44,5,7,12,4,5,9,4,2,6,4,2,6,27,47,74,18,34,52,44,63,107,27,33,60,264,279,543,927
Obesidad(E66),,4,4,35,16,51,155,208,363,305,354,659,190,155,345,50,43,93,491,356,847,204,160,364,369,265,634,116,91,207,159,122,281,3848
Otitis media aguda(H65.0-H65.1),9,14,23,117,138,255,131,137,268,90,81,171,69,56,125,17,13,30,156,104,260,60,56,116,115,73,188,40,34,74,79,61,140,1650
"Otras helmintiasis(B65-B67, B70-B76, B78, B79, B81-B83 EXCEPTO B73 y B75)",,1,1,51,59,110,86,114,200,92,85,177,65,42,107,10,13,23,74,69,143,33,18,51,76,58,134,38,31,69,74,60,134,1149
"Otras hepatitis víricas(B17-B19 EXCEPTO B17.1, B18.2)",,,,,,,1,1,2,1,,1,,1,1,,,,,4,4,1,1,2,,1,1,,,,1,0,1,12
"Otras infecciones intestinales debidas a protozoarios(A07.0, A07.2, A07.9)",,,,,3,3,,1,1,,,,,,,3,,3,1,1,2,,,,1,,1,2,,2,0,0,0,12
Otras rickettsiosis(A79),,,,,,,,,,,,,,,,,,,,1,1,,1,1,,1,1,,,,0,0,0,3
Otras salmonelosis(A02),,,,,,,1,1,2,1,1,2,1,4,5,3,,3,12,2,14,7,,7,7,5,12,2,1,3,3,1,4,52
Parotiditis infecciosa(B26),,,,4,2,6,5,5,10,2,5,7,3,4,7,1,,1,9,6,15,4,1,5,12,4,16,2,1,3,3,1,4,74
Peatón lesionado en accidente de transporte(V01-V09),,,,,,,1,,1,2,,2,3,1,4,,,,6,1,7,,,,10,4,14,2,1,3,3,5,8,39
Quemaduras(T20-T32),2,2,4,12,12,24,7,14,21,19,18,37,12,15,27,4,7,11,140,148,288,51,53,104,109,91,200,48,20,68,90,51,141,925
Shigelosis(A03),,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,0,0,0,1
Sífilis adquirida(A51-A53),,,,,,,,,,,,,,,,,,,,5,5,,1,1,,3,3,,1,1,0,0,0,10
Sífilis congénita(A50),,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
"Síndrome meníngeo(G00-G03 EXCEPTO G00.0, G00.1)",1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,2
Teniasis(B68),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,1
Toxoplasmosis(B58),,,,2,,2,,,,,,,,,,,,,3,,3,,,,,,,1,,1,0,0,0,6
Tricomoniasis urogenital(A59.0),,,,,,,,,,,,,,,,,,,1,,1,,1,1,1,1,2,,,,0,0,0,4
Tripanosomiasis americana (enfermedad de Chagas) aguda(B57.0-B57.1),,,,,,,,,,,1,1,,,,,,,,,,1,1,2,,,,,,,0,0,0,3
"Tuberculosis otras formas(A17.1, A17.8, A17.9, A18-A19)",,,,,,,,,,1,1,2,,3,3,1,1,2,1,3,4,1,1,2,,2,2,,3,3,1,1,2,20
Tuberculosis respiratoria(A15-A16),,,,,,,1,,1,,,,,,,,1,1,4,5,9,2,4,6,4,12,16,,5,5,11,14,25,63
Tumor maligno de la mama(C50),,,,,,,,,,1,,1,,,,1,,1,29,1,30,23,1,24,53,1,54,29,1,30,79,0,79,219
Tumor maligno del cuello del útero(C53),,,,,,,,,,,,,,,,,,,9,,9,4,,4,9,,9,2,,2,10,0,10,34
"Úlceras, gastritis y duodenitis(K25-K29)",,,,7,9,16,40,33,73,155,129,284,186,131,317,74,60,134,461,277,738,155,102,257,333,204,537,167,103,270,430,288,718,3344
Varicela(B01),3,4,7,42,57,99,19,26,45,14,17,31,4,9,13,2,2,4,12,12,24,2,4,6,,2,2,1,,1,0,2,2,234
Violencia intrafamiliar(Y07.0-Y07.2),,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,0,0,0,2
Viruela símica(B04),,,,,,,,,,,,,,,,,,,1,5,6,,,,,2,2,1,,1,1,0,1,10
Vulvovaginitis(N76),1,,1,,,,1,,1,3,,3,11,,11,19,,19,197,,197,63,,63,123,,123,49,,49,44,0,44,511
Total general,1572,1781,3353,9167,10071,19238,11820,11809,23629,9497,9959,19456,6654,5694,12348,3355,2288,5643,31917,25144,57061,12218,9612,21830,24440,18605,43045,10355,7172,17527,24524,17417,41941,265071
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: SINAVE/PEMEX. Cubos dinámicos. SUIVE 2022. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Dirección Corporativa de Administración y Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Subdirección de Servicios de Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Gerencia de Prevención Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2023 (casos nuevos notificados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENERO-MARZO 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total
Padecimiento,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,
"Accidentes de transporte en vehículos con motor(V20-V29, V40-V79)",,,,,1,1,1,2,3,5,3,8,5,10,15,,3,3,20,38,58,10,12,22,6,16,22,1,,1,4,4,8,141
"Amebiasis intestinal(A06.0-A06.3, A06.9)",,1,1,2,8,10,10,8,18,12,8,20,6,5,11,6,1,7,16,11,27,4,2,6,11,8,19,2,8,10,8,6,14,143
"Anorexia, bulimia y otros trastornos alimentarios(F50)",,,,1,,1,,1,1,2,,2,1,,1,,,,,,,,,,1,,1,,,,,,,6
"Asma(J45, J46)",4,6,10,35,53,88,60,83,143,20,32,52,8,8,16,,,,34,13,47,8,4,12,28,5,33,9,4,13,24,12,36,450
Brucelosis(A23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1
Candidiasis urogenital(B37.3-B37.4),,,,,,,,,,,1,1,3,,3,1,,1,20,1,21,8,1,9,16,2,18,4,,4,11,1,12,69
Chancro blando(A57),,,,,,,,,,,,,,1,1,,,,,,,,,,,2,2,,,,,,,3
Cirrosis hepática alcohólica(K70.3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3
Conjuntivitis(H10),17,20,37,122,144,266,121,129,250,65,86,151,56,44,100,20,9,29,258,278,536,102,108,210,271,230,501,146,92,238,338,247,585,2903
"Contacto traumático con avispas, avispones y abejas(X23)",,,,,1,1,,,,,1,1,,,,,,,,1,1,,1,1,,1,1,,,,,,,5
COVID-19(U07.1-U07.2),1,4,5,9,8,17,14,11,25,11,9,20,14,13,27,13,7,20,377,372,749,155,144,299,295,227,522,87,69,156,206,182,388,2228
Dengue con signos de alarma(A97.1),,,,,1,1,,2,2,3,1,4,2,3,5,,1,1,3,2,5,2,2,4,3,4,7,,1,1,3,1,4,34
Dengue grave(A97.2),,,,,,,1,,1,,1,1,1,,1,,,,,,,,,,,,,,,,,1,1,4
"Dengue no grave(A97.0, A97.9)",1,,1,4,2,6,3,6,9,8,14,22,4,6,10,2,2,4,12,10,22,4,1,5,8,3,11,,2,2,1,5,6,98
Depresión(F32),,,,,,,1,,1,8,6,14,9,1,10,4,2,6,9,3,12,2,1,3,10,2,12,1,1,2,15,7,22,82
Desnutrición leve(E44.1),,1,1,2,,2,2,2,4,2,,2,,,,,,,4,,4,,,,7,2,9,1,1,2,4,,4,28
Desnutrición moderada(E44.0),,,,2,,2,,1,1,,,,,,,,,,,,,,,,,,,,,,2,,2,5
Desnutrición severa(E40-E43),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1
Diabetes mellitus en el embarazo(O24.4),,,,,,,,,,,,,,,,1,,1,13,,13,,,,,,,,,,,,,14
Diabetes mellitus tipo 1(E10),,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Diabetes mellitus tipo 2(E11-E14),,,,,,,,,,,,,,,,,2,2,57,76,133,51,48,99,149,107,256,52,61,113,104,84,188,791
Displasia cervical leve y moderada(N87.0-N87.1),,,,,,,,,,1,,1,1,,1,3,,3,16,,16,5,,5,7,,7,1,,1,5,,5,39
"Displasia cervical severa y CaCu in situ(N87.2, D06)",,,,,,,,,,,,,,,,,,,7,,7,,,,3,,3,1,,1,,,,11
"Edema, proteinuria y transtornos hipertensivos en el embarazo, parto y puerperio(O10-O16)",,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1
"Efectos del calor y de la luz(T67, X30)",,,,,,,,,,1,,1,,,,,,,,1,1,,,,,,,,,,,,,2
Enfermedad alcohólica del hígado(K70 EXCEPTO K70.3),,,,,,,,,,,,,,,,,,,,1,1,,,,,8,8,,3,3,,4,4,16
"Enfermedad cerebrovascular(I60-I67, I69)",,,,,,,,,,,,,,,,,1,1,1,5,6,4,5,9,17,26,43,14,14,28,127,120,247,334
Enfermedad de Parkinson(G20),,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,5,3,8,10
Enfermedad isquémica del corazón(I20-I25),,,,,,,,,,,,,,,,,,,5,17,22,6,13,19,24,39,63,16,32,48,78,121,199,351
Erisipela(A46),,,,,,,,,,,,,,,,,,,,2,2,,,,,1,1,1,,1,6,4,10,14
Escabiosis(B86),,1,1,3,6,9,6,7,13,5,2,7,2,2,4,1,,1,5,2,7,1,6,7,9,8,17,6,4,10,13,10,23,99
Escarlatina(A38),,,,,,,1,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,2
Espina bífida(Q05),,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Eventos supuestamente asociados a la vacunación (ESAVI)(Y58, Y59)",,,,1,1,2,,,,1,,1,,,,,,,2,2,4,3,2,5,4,1,5,,1,1,3,1,4,22
"Faringitis y amigdalitis estreptocócicas(J02.0, J03.0)",1,,1,2,1,3,,,,1,1,2,,1,1,,,,2,2,4,,1,1,4,,4,,1,1,,1,1,18
Fiebre paratifoidea(A01.1-A01.4),,,,,,,,,,1,,1,,,,,,,2,,2,,,,,,,1,,1,,,,4
Fiebre tifoidea(A01.0),,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,1,2
Giardiasis(A07.1),,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,2
Gingivitis y enfermedad periodontal(K05),1,,1,9,12,21,43,29,72,80,63,143,74,66,140,51,50,101,397,226,623,154,127,281,380,259,639,193,128,321,385,311,696,3038
Hepatitis vírica A(B15),,,,,,,,,,,,,1,,1,,,,2,4,6,,1,1,,1,1,,,,1,,1,10
Hepatitis vírica B(B16),,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,1,1,3
"Hepatitis vírica C(B17.1, B18.2)",,,,,,,,,,,,,,,,,,,1,2,3,,,,,1,1,,,,2,1,3,7
Herpes genital(A60.0),,,,,,,,,,,,,1,,1,,,,,,,2,,2,1,1,2,,,,1,,1,6
Hiperplasia de la próstata(N40),,,,,,,,,,,,,,,,,,,,,,,2,2,,24,24,,15,15,,31,31,72
Hipertensión arterial(I10-I15),,,,,,,,,,,,,,,,1,7,8,83,94,177,66,68,134,163,146,309,88,79,167,176,119,295,1090
Infección asociada a la atención de la salud(S/C),,1,1,,2,2,,,,1,1,2,,1,1,1,,1,14,9,23,8,5,13,10,14,24,11,14,25,31,52,83,175
"Infección de vías urinarias(N30, N34, N39.0)",18,4,22,133,49,182,267,82,349,177,82,259,181,44,225,91,28,119,1017,272,1289,483,123,606,1168,338,1506,625,215,840,1886,827,2713,8110
"Infección por el virus de la inmunodeficiencia humana(B20-B24, Z21)",,,,,,,,,,,,,,,,,,,1,4,5,,,,,3,3,,,,,2,2,10
Infección por virus del papiloma humano(B97.7),,,,,,,,,,,,,,,,4,,4,4,1,5,5,,5,1,,1,,,,1,2,3,18
"Infecciones intestinales por otros organismos y las mal definidas(A04, A08-A09 EXCEPTO A08.0)",42,38,80,326,395,721,353,386,739,261,365,626,194,210,404,69,49,118,624,508,1132,210,198,408,490,391,881,210,164,374,505,360,865,6348
"Infecciones respiratorias agudas(J00-J06, J20, J21 EXCEPTO J02.0 Y J03.0)",421,442,863,2279,2606,4885,3134,3415,6549,2281,2644,4925,1363,1325,2688,497,379,876,4354,3117,7471,1655,1155,2810,3661,2471,6132,1720,1071,2791,3774,2386,6160,46150
Influenza(J09-J11),,1,1,9,4,13,15,12,27,12,11,23,10,14,24,6,2,8,80,60,140,28,18,46,51,36,87,26,16,42,37,32,69,480
Insuficiencia venosa periférica(I87.2),,,,,,,,,,,,,,,,1,,1,8,1,9,15,1,16,24,4,28,7,3,10,29,13,42,106
Intoxicación aguda por alcohol(F10.0),,,,,,,,,,,,,,,,,1,1,2,,2,,1,1,,,,1,1,2,,,,6
Intoxicación alimentaria bacteriana(A05),,2,2,4,4,8,2,2,4,1,2,3,2,1,3,,,,4,4,8,3,,3,,3,3,,2,2,4,1,5,41
"Intoxicación por picadura de alacrán(T63.2, X22)",,,,,,,1,,1,2,2,4,1,,1,,1,1,,2,2,1,1,2,2,2,4,,,,2,2,4,19
Intoxicación por plaguicidas(T60),,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1
"Intoxicación por ponzoña de animales(T63, X21, X27, EXCEPTO T63.0 Y T63.2)",,,,,,,,,,,,,,,,1,,1,2,4,6,,1,1,,1,1,,1,1,,,,10
Leucemia(C91-C95),,,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,,,,,,,2
Linfoma no Hodking(C82-C85),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1
Meningitis tuberculosa(A17.0),,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1
"Mordedura por serpiente(T63.0, X20)",,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1
Mordeduras por otros mamíferos(W55),,,,,,,1,1,2,1,,1,3,,3,,,,8,2,10,5,1,6,8,3,11,2,4,6,7,1,8,47
Mordeduras por perro(W54),,,,3,2,5,7,14,21,12,7,19,8,7,15,5,2,7,22,24,46,9,5,14,21,18,39,9,12,21,34,25,59,246
"Neumonías y bronconeumonías(J12-J18 EXCEPTO J18.2, J13 y J14)",1,,1,5,4,9,3,5,8,,1,1,1,1,2,,,,1,3,4,1,,1,6,9,15,13,7,20,98,91,189,250
Obesidad(E66),,,,7,14,21,49,54,103,76,110,186,52,56,108,13,12,25,132,93,225,54,30,84,92,90,182,43,24,67,43,41,84,1085
Otitis media aguda(H65.0-H65.1),4,3,7,47,47,94,39,47,86,18,22,40,13,14,27,3,1,4,36,21,57,12,13,25,43,23,66,10,11,21,24,20,44,471
"Otras helmintiasis(B65-B67, B70-B76, B78, B79, B81-B83 EXCEPTO B73 y B75)",,,,11,14,25,15,23,38,12,17,29,12,9,21,,,,18,14,32,4,9,13,19,13,32,8,4,12,36,10,46,248
"Otras hepatitis víricas(B17-B19 EXCEPTO B17.1, B18.2)",,,,,,,,,,,,,1,,1,,,,,1,1,,,,,,,,,,,,,2
"Otras infecciones intestinales debidas a protozoarios(A07.0, A07.2, A07.9)",1,,1,,,,,,,1,,1,,1,1,,,,,1,1,,1,1,,,,,,,,2,2,7
Otras salmonelosis(A02),,,,,,,1,,1,,1,1,,3,3,,,,2,1,3,1,,1,4,,4,,1,1,3,2,5,19
Parotiditis infecciosa(B26),,,,1,1,2,1,2,3,,,,,1,1,1,,1,,,,,2,2,,2,2,,1,1,,,,12
Peatón lesionado en accidente de transporte(V01-V09),,,,,,,,,,,,,1,1,2,,,,2,2,4,,,,,1,1,,,,1,,1,8
Quemaduras(T20-T32),,,,1,5,6,4,2,6,3,7,10,4,2,6,3,1,4,24,33,57,18,9,27,31,16,47,14,11,25,34,15,49,237
Sífilis adquirida(A51-A53),,,,,,,,,,,,,,,,,1,1,,1,1,,1,1,,,,,,,,1,1,4
Toxoplasmosis(B58),,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,2
Tricomoniasis urogenital(A59.0),,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,2
Tripanosomiasis americana (enfermedad de Chagas) crónica(B57.2-B57.5),,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1
"Tuberculosis otras formas(A17.1, A17.8, A17.9, A18-A19)",,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1
Tuberculosis respiratoria(A15-A16),,,,,,,,,,,,,,,,,,,,,,,1,1,2,4,6,2,3,5,2,3,5,17
Tumor maligno de la mama(C50),,,,,,,,,,,,,,,,,,,3,,3,3,,3,18,,18,6,,6,20,,20,50
Tumor maligno de la próstata(C61),,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,4,4,,7,7,13
Tumor maligno de riñón(C64),,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1
"Tumor maligno de tráquea, bronquios y pulmón(C33-C34)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2
Tumor maligno del colon y recto(C18-C21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,3,7,8
Tumor maligno del cuello del útero(C53),,,,,,,,,,,,,,,,,,,1,,1,,,,3,,3,,,,8,,8,12
Tumor maligno del cuerpo del útero(C54),,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1
Tumor maligno del esófago(C15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1
Tumor maligno del estómago(C16),,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,2
Tumor maligno del ovario(C56),,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1
Tumores malignos del encéfalo y de otras partes del sistema nervioso central(C70-C72),,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1
"Úlceras, gastritis y duodenitis(K25-K29)",,,,8,2,10,15,5,20,60,45,105,55,36,91,32,10,42,156,99,255,52,40,92,113,74,187,73,33,106,170,95,265,1173
Varicela(B01),,,,2,6,8,8,2,10,4,8,12,,2,2,1,,1,4,4,8,1,1,2,1,2,3,,,,,1,1,47
Vulvovaginitis(N76),,,,,,,1,,1,,,,4,,4,12,,12,58,,58,29,,29,48,,48,8,,8,14,,14,174
Total general,512,525,1037,3028,3394,6422,4180,4333,8513,3149,3553,6702,2094,1890,3984,843,572,1415,7929,5449,13378,3185,2167,5352,7234,4648,11882,3412,2120,5532,8294,5277,13571,77788
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: SINAVE/PEMEX. Cubos dinámicos. SUIVE 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Dirección Corporativa de Administración y Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Subdirección de Servicios de Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Gerencia de Prevención Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2023 (casos nuevos notificados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRIL-JUNIO 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
